name2,total_pop,year,largest_city,race,full_name,count
"Atlanta city, Georgia",394017,1990,Atlanta,Hispanic/Latino,"Atlanta, GA",7525
"Atlanta city, Georgia",498715,2020,Atlanta,Non-Hispanic White,"Atlanta, GA",192148
"Boston city, Massachusetts",574283,1990,Boston,Other,"Boston, MA",7067
"Boston city, Massachusetts",675647,2020,Boston,Non-Hispanic Black,"Boston, MA",129264
"Chicago city, Illinois",2783726,1990,Chicago,Non-Hispanic White,"Chicago, IL",1056048
"Chicago city, Illinois",2746388,2020,Chicago,Non-Hispanic Asian,"Chicago, IL",189857
"Cincinnati city, Ohio",364040,1990,Cincinnati,Non-Hispanic Asian,"Cincinnati, OH",3908
"Cincinnati city, Ohio",309317,2020,Cincinnati,Non-Hispanic Asian,"Cincinnati, OH",7767
"Dallas city, Texas",1006877,1990,Dallas,Hispanic/Latino,"Dallas, TX",210240
"Dallas city, Texas",1304379,2020,Dallas,Hispanic/Latino,"Dallas, TX",551174
"Denver city, Colorado",467610,1990,Denver,Other,"Denver, CO",5114
"Denver city, Colorado",715522,2020,Denver,Non-Hispanic Asian,"Denver, CO",27198
"Detroit city, Michigan",1027974,1990,Detroit,Non-Hispanic Black,"Detroit, MI",774529
"Detroit city, Michigan",639111,2020,Detroit,Non-Hispanic White,"Detroit, MI",60770
"Houston city, Texas",1630553,1990,Houston,Hispanic/Latino,"Houston, TX",450483
"Houston city, Texas",2304580,2020,Houston,Other,"Houston, TX",70500
"Las Vegas city, Nevada",258295,1990,Las Vegas,Hispanic/Latino,"Las vegas, NV",32369
"Las Vegas city, Nevada",641903,2020,Las Vegas,Non-Hispanic Asian,"Las vegas, NV",44995
"Los Angeles city, California",3485398,1990,Los Angeles,Hispanic/Latino,"Los Angeles, CA",1391411
"Los Angeles city, California",3898747,2020,Los Angeles,Non-Hispanic White,"Los Angeles, CA",1126052
"Miami city, Florida",358548,1990,Miami,Other,"Miami, FL",618
"Miami city, Florida",442241,2020,Miami,Hispanic/Latino,"Miami, FL",310472
"Minneapolis city, Minnesota",368383,1990,Minneapolis,Non-Hispanic Black,"Minneapolis, MN",47170
"Minneapolis city, Minnesota",429954,2020,Minneapolis,Non-Hispanic White,"Minneapolis, MN",249581
"New York city, New York",7322564,1990,New York,Non-Hispanic White,"New York, NY",3163125
"New York city, New York",8804190,2020,New York,Other,"New York, NY",443591
"Philadelphia city, Pennsylvania",1585577,1990,Philadelphia,Non-Hispanic White,"Philadelphia, PA",825839
"Philadelphia city, Pennsylvania",1603797,2020,Philadelphia,Other,"Philadelphia, PA",68449
"Phoenix city, Arizona",983403,1990,Phoenix,Hispanic/Latino,"Phoenix, AZ",197103
"Phoenix city, Arizona",1608139,2020,Phoenix,Other,"Phoenix, AZ",92291
"Pittsburgh city, Pennsylvania",369879,1990,Pittsburgh,Other,"Pittsburgh, PA",1081
"Pittsburgh city, Pennsylvania",302971,2020,Pittsburgh,Other,"Pittsburgh, PA",16193
"Providence city, Rhode Island",160728,1990,Providence,Non-Hispanic Black,"Providence, RI",20259
"Providence city, Rhode Island",190934,2020,Providence,Other,"Providence, RI",11414
"Riverside city, California",226505,1990,Riverside,Other,"Riverside, CA",1917
"Riverside city, California",314998,2020,Riverside,Other,"Riverside, CA",14117
"Salt Lake City city, Utah",159936,1990,Salt Lake City,Non-Hispanic White,"Salt Lake City, UT",132090
"Salt Lake City city, Utah",199723,2020,Salt Lake City,Hispanic/Latino,"Salt Lake City, UT",41504
"San Diego city, California",1110549,1990,San Diego,Other,"San Diego, CA",7030
"San Diego city, California",1386932,2020,San Diego,Non-Hispanic Black,"San Diego, CA",77542
"San Francisco city, California",723959,1990,San Francisco,Non-Hispanic Black,"San Francisco, CA",76343
"San Francisco city, California",873965,2020,San Francisco,Non-Hispanic Asian,"San Francisco, CA",294220
"Seattle city, Washington",516259,1990,Seattle,Other,"Seattle, WA",7428
"Seattle city, Washington",737015,2020,Seattle,Non-Hispanic White,"Seattle, WA",438168
"St. Louis city, Missouri",396685,1990,St. Louis,Non-Hispanic Asian,"St. Louis, MO",3616
"St. Louis city, Missouri",301578,2020,St. Louis,Other,"St. Louis, MO",15607
"Tampa city, Florida",280015,1990,Tampa,Other,"Tampa, FL",876
"Tampa city, Florida",384959,2020,Tampa,Hispanic/Latino,"Tampa, FL",98621
"Tucson city, Arizona",405390,1990,Tucson,Hispanic/Latino,"Tucson, AZ",118595
"Tucson city, Arizona",542629,2020,Tucson,Non-Hispanic White,"Tucson, AZ",236837
"Atlanta city, Georgia",394017,1990,Atlanta,Other,"Atlanta, GA",694
"Atlanta city, Georgia",394017,1990,Atlanta,Non-Hispanic Black,"Atlanta, GA",263107
"Atlanta city, Georgia",394017,1990,Atlanta,Non-Hispanic White,"Atlanta, GA",119266
"Atlanta city, Georgia",394017,1990,Atlanta,Non-Hispanic Asian,"Atlanta, GA",3425
"Atlanta city, Georgia",498715,2020,Atlanta,Hispanic/Latino,"Atlanta, GA",29988
"Atlanta city, Georgia",498715,2020,Atlanta,Non-Hispanic Black,"Atlanta, GA",233018
"Atlanta city, Georgia",498715,2020,Atlanta,Other,"Atlanta, GA",21353
"Atlanta city, Georgia",498715,2020,Atlanta,Non-Hispanic Asian,"Atlanta, GA",22208
"Boston city, Massachusetts",574283,1990,Boston,Non-Hispanic Asian,"Boston, MA",29640
"Boston city, Massachusetts",574283,1990,Boston,Hispanic/Latino,"Boston, MA",61955
"Boston city, Massachusetts",574283,1990,Boston,Non-Hispanic Black,"Boston, MA",136887
"Boston city, Massachusetts",574283,1990,Boston,Non-Hispanic White,"Boston, MA",338734
"Boston city, Massachusetts",675647,2020,Boston,Other,"Boston, MA",43218
"Boston city, Massachusetts",675647,2020,Boston,Non-Hispanic Asian,"Boston, MA",75588
"Boston city, Massachusetts",675647,2020,Boston,Non-Hispanic White,"Boston, MA",301464
"Boston city, Massachusetts",675647,2020,Boston,Hispanic/Latino,"Boston, MA",126113
"Chicago city, Illinois",2783726,1990,Chicago,Non-Hispanic Black,"Chicago, IL",1074471
"Chicago city, Illinois",2783726,1990,Chicago,Other,"Chicago, IL",8578
"Chicago city, Illinois",2783726,1990,Chicago,Non-Hispanic Asian,"Chicago, IL",98777
"Chicago city, Illinois",2783726,1990,Chicago,Hispanic/Latino,"Chicago, IL",545852
"Chicago city, Illinois",2746388,2020,Chicago,Hispanic/Latino,"Chicago, IL",819518
"Chicago city, Illinois",2746388,2020,Chicago,Non-Hispanic Black,"Chicago, IL",787551
"Chicago city, Illinois",2746388,2020,Chicago,Non-Hispanic White,"Chicago, IL",863622
"Chicago city, Illinois",2746388,2020,Chicago,Other,"Chicago, IL",85840
"Cincinnati city, Ohio",364040,1990,Cincinnati,Non-Hispanic White,"Cincinnati, OH",218986
"Cincinnati city, Ohio",364040,1990,Cincinnati,Hispanic/Latino,"Cincinnati, OH",2386
"Cincinnati city, Ohio",364040,1990,Cincinnati,Other,"Cincinnati, OH",1058
"Cincinnati city, Ohio",364040,1990,Cincinnati,Non-Hispanic Black,"Cincinnati, OH",137702
"Cincinnati city, Ohio",309317,2020,Cincinnati,Hispanic/Latino,"Cincinnati, OH",15836
"Cincinnati city, Ohio",309317,2020,Cincinnati,Non-Hispanic Black,"Cincinnati, OH",124654
"Cincinnati city, Ohio",309317,2020,Cincinnati,Other,"Cincinnati, OH",15960
"Cincinnati city, Ohio",309317,2020,Cincinnati,Non-Hispanic White,"Cincinnati, OH",145100
"Dallas city, Texas",1006877,1990,Dallas,Non-Hispanic Asian,"Dallas, TX",20615
"Dallas city, Texas",1006877,1990,Dallas,Non-Hispanic Black,"Dallas, TX",290882
"Dallas city, Texas",1006877,1990,Dallas,Non-Hispanic White,"Dallas, TX",479980
"Dallas city, Texas",1006877,1990,Dallas,Other,"Dallas, TX",5160
"Dallas city, Texas",1304379,2020,Dallas,Non-Hispanic Asian,"Dallas, TX",47820
"Dallas city, Texas",1304379,2020,Dallas,Other,"Dallas, TX",40228
"Dallas city, Texas",1304379,2020,Dallas,Non-Hispanic Black,"Dallas, TX",298764
"Dallas city, Texas",1304379,2020,Dallas,Non-Hispanic White,"Dallas, TX",366393
"Denver city, Colorado",467610,1990,Denver,Hispanic/Latino,"Denver, CO",107382
"Denver city, Colorado",467610,1990,Denver,Non-Hispanic Black,"Denver, CO",57793
"Denver city, Colorado",467610,1990,Denver,Non-Hispanic White,"Denver, CO",287162
"Denver city, Colorado",467610,1990,Denver,Non-Hispanic Asian,"Denver, CO",10159
"Denver city, Colorado",715522,2020,Denver,Non-Hispanic White,"Denver, CO",388764
"Denver city, Colorado",715522,2020,Denver,Other,"Denver, CO",39002
"Denver city, Colorado",715522,2020,Denver,Hispanic/Latino,"Denver, CO",199460
"Denver city, Colorado",715522,2020,Denver,Non-Hispanic Black,"Denver, CO",61098
"Detroit city, Michigan",1027974,1990,Detroit,Non-Hispanic White,"Detroit, MI",212278
"Detroit city, Michigan",1027974,1990,Detroit,Other,"Detroit, MI",4609
"Detroit city, Michigan",1027974,1990,Detroit,Non-Hispanic Asian,"Detroit, MI",8085
"Detroit city, Michigan",1027974,1990,Detroit,Hispanic/Latino,"Detroit, MI",28473
"Detroit city, Michigan",639111,2020,Detroit,Hispanic/Latino,"Detroit, MI",51269
"Detroit city, Michigan",639111,2020,Detroit,Non-Hispanic Asian,"Detroit, MI",10085
"Detroit city, Michigan",639111,2020,Detroit,Non-Hispanic Black,"Detroit, MI",493212
