total_pop,year,largest_city,race,full_name,count
394017,1990,Atlanta,Non-Hispanic White,"Atlanta, GA",2071593
498715,2020,Atlanta,Non-Hispanic White,"Atlanta, GA",2469687
574283,1990,Boston,Non-Hispanic White,"Boston, MA",3251690
675647,2020,Boston,Non-Hispanic White,"Boston, MA",2990817
2783726,1990,Chicago,Non-Hispanic White,"Chicago, IL",4431723
2746388,2020,Chicago,Non-Hispanic White,"Chicago, IL",3961378
364040,1990,Cincinnati,Non-Hispanic White,"Cincinnati, OH",1402278
309317,2020,Cincinnati,Non-Hispanic White,"Cincinnati, OH",1567772
1006877,1990,Dallas,Non-Hispanic White,"Dallas, TX",2313870
1304379,2020,Dallas,Non-Hispanic White,"Dallas, TX",2899981
467610,1990,Denver,Non-Hispanic White,"Denver, CO",1011559
715522,2020,Denver,Non-Hispanic White,"Denver, CO",1425449
1027974,1990,Detroit,Non-Hispanic White,"Detroit, MI",2943024
639111,2020,Detroit,Non-Hispanic White,"Detroit, MI",2738763
1630553,1990,Houston,Non-Hispanic White,"Houston, TX",1516637
2304580,2020,Houston,Non-Hispanic White,"Houston, TX",1853800
258295,1990,Las Vegas,Non-Hispanic White,"Las vegas, NV",372643
641903,2020,Las Vegas,Non-Hispanic White,"Las vegas, NV",633241
3485398,1990,Los Angeles,Non-Hispanic White,"Los Angeles, CA",3873747
3898747,2020,Los Angeles,Non-Hispanic White,"Los Angeles, CA",2636212
358548,1990,Miami,Non-Hispanic White,"Miami, FL",2165602
442241,2020,Miami,Non-Hispanic White,"Miami, FL",1723677
368383,1990,Minneapolis,Non-Hispanic White,"Minneapolis, MN",2078851
429954,2020,Minneapolis,Non-Hispanic White,"Minneapolis, MN",2398666
7322564,1990,New York,Non-Hispanic White,"New York, NY",7250405
8804190,2020,New York,Non-Hispanic White,"New York, NY",5992320
1585577,1990,Philadelphia,Non-Hispanic White,"Philadelphia, PA",3301495
1603797,2020,Philadelphia,Non-Hispanic White,"Philadelphia, PA",3139712
983403,1990,Phoenix,Non-Hispanic White,"Phoenix, AZ",1000284
1608139,2020,Phoenix,Non-Hispanic White,"Phoenix, AZ",1925826
369879,1990,Pittsburgh,Non-Hispanic White,"Pittsburgh, PA",1990264
302971,2020,Pittsburgh,Non-Hispanic White,"Pittsburgh, PA",1760771
160728,1990,Providence,Non-Hispanic White,"Providence, RI",1266443
190934,2020,Providence,Non-Hispanic White,"Providence, RI",1137791
226505,1990,Riverside,Non-Hispanic White,"Riverside, CA",1477507
314998,2020,Riverside,Non-Hispanic White,"Riverside, CA",1267135
159936,1990,Salt Lake City,Non-Hispanic White,"Salt Lake City, UT",542340
199723,2020,Salt Lake City,Non-Hispanic White,"Salt Lake City, UT",732435
1110549,1990,San Diego,Non-Hispanic White,"San Diego, CA",981546
1386932,2020,San Diego,Non-Hispanic White,"San Diego, CA",857077
723959,1990,San Francisco,Non-Hispanic White,"San Francisco, CA",1826959
